DATE       HOUR    Humedad
4/2/2019   14:40   72
4/2/2019   15:40   72
4/2/2019   16:40   72
4/2/2019   17:40   75
4/2/2019   18:40   78
4/2/2019   19:40   80
4/2/2019   20:40   75
4/2/2019   21:40   70
4/2/2019   22:40   60
4/2/2019   23:40   50
5/2/2019   0:40   40
5/2/2019   1:40   40
5/2/2019   2:40   40
5/2/2019   3:40   32
5/2/2019   4:40   32
5/2/2019   5:40   32
5/2/2019   6:40   33
5/2/2019   7:40   33
5/2/2019   8:40   33
5/2/2019   9:40   34
5/2/2019   10:40   34
5/2/2019   11:40   34
5/2/2019   12:40   70
5/2/2019   13:40   72
5/2/2019   14:40   72
5/2/2019   15:40   72
5/2/2019   16:40   72
5/2/2019   17:40   75
5/2/2019   18:40   78
5/2/2019   19:40   80
5/2/2019   20:40   75
5/2/2019   21:40   70
5/2/2019   22:40   60
5/2/2019   23:40   50
6/2/2019   0:40   40
6/2/2019   1:40   40
6/2/2019   2:40   40
6/2/2019   3:40   32
6/2/2019   4:40   32
6/2/2019   5:40   32
6/2/2019   6:40   33
6/2/2019   7:40   33
6/2/2019   8:40   33
6/2/2019   9:40   34
6/2/2019   10:40   34
6/2/2019   11:40   34
6/2/2019   12:40   70
6/2/2019   13:40   72
6/2/2019   14:40   72
6/2/2019   15:40   72
6/2/2019   16:40   72
6/2/2019   17:40   75
6/2/2019   18:40   78
6/2/2019   19:40   80
6/2/2019   20:40   75
6/2/2019   21:40   70
6/2/2019   22:40   60
6/2/2019   23:40   50
7/2/2019   0:40   40
7/2/2019   1:40   40
7/2/2019   2:40   40
7/2/2019   3:40   32
7/2/2019   4:40   32
7/2/2019   5:40   32
7/2/2019   6:40   33
7/2/2019   7:40   33
7/2/2019   8:40   33
7/2/2019   9:40   34
7/2/2019   10:40   34
7/2/2019   11:40   34
7/2/2019   12:40   70
7/2/2019   13:40   72
7/2/2019   14:40   72
7/2/2019   15:40   72
7/2/2019   16:40   72
7/2/2019   17:40   75
7/2/2019   18:40   78
1/2/2019   19:40   80
7/2/2019   20:40   75
7/2/2019   21:40   70
7/2/2019   22:40   60
7/2/2019   23:40   50
8/2/2019   0:40   40
8/2/2019   1:40   40
8/2/2019   2:40   40
8/2/2019   3:40   32
8/2/2019   4:40   32
8/2/2019   5:40   32
8/2/2019   6:40   33
8/2/2019   7:40   33
8/2/2019   8:40   33
8/2/2019   9:40   34
8/2/2019   10:40   34
8/2/2019   11:40   34
8/2/2019   12:40   70
8/2/2019   13:40   72
8/2/2019   14:40   72
8/2/2019   15:40   72
8/2/2019   16:40   72
8/2/2019   17:40   75
8/2/2019   18:40   78
8/2/2019   19:40   80
8/2/2019   20:40   75
8/2/2019   21:40   70
8/2/2019   22:40   60
8/2/2019   23:40   50
9/2/2019   0:40   40
9/2/2019   1:40   40
9/2/2019   2:40   40
9/2/2019   3:40   32
9/2/2019   4:40   32
9/2/2019   5:40   32
9/2/2019   6:40   33
9/2/2019   7:40   33
9/2/2019   8:40   33
9/2/2019   9:40   34
9/2/2019   10:40   34
9/2/2019   11:40   34
9/2/2019   12:40   70
9/2/2019   13:40   72
9/2/2019   14:40   72
9/2/2019   15:40   72
9/2/2019   16:40   72
9/2/2019   17:40   75
9/2/2019   18:40   78
9/2/2019   19:40   80
9/2/2019   20:40   75
9/2/2019   21:40   70
9/2/2019   22:40   60
9/2/2019   23:40   50
10/2/2019   0:40   40
10/2/2019   1:40   40
10/2/2019   2:40   40
10/2/2019   3:40   32
10/2/2019   4:40   32
10/2/2019   5:40   32
10/2/2019   6:40   33
10/2/2019   7:40   33
10/2/2019   8:40   33
10/2/2019   9:40   34
10/2/2019   10:40   34
10/2/2019   11:40   34
10/2/2019   12:40   70
10/2/2019   13:40   72
10/2/2019   14:40   72
10/2/2019   15:40   72
10/2/2019   16:40   72
10/2/2019   17:40   75
10/2/2019   18:40   78
10/2/2019   19:40   80
10/2/2019   20:40   75
10/2/2019   21:40   70
10/2/2019   22:40   60
10/2/2019   23:40   50
10/2/2019   0:40   40
11/2/2019   1:40   40
11/2/2019   2:40   40
11/2/2019   3:40   32
11/2/2019   4:40   32
11/2/2019   5:40   32
11/2/2019   6:40   33
11/2/2019   7:40   33
11/2/2019   8:40   33
11/2/2019   9:40   34
11/2/2019   10:40   34
11/2/2019   11:40   34
11/2/2019   12:40   70
11/2/2019   13:40   72
11/2/2019   14:40   72
11/2/2019   15:40   72
11/2/2019   16:40   72
11/2/2019   17:40   75
11/2/2019   18:40   78
11/2/2019   19:40   80
11/2/2019   20:40   75
11/2/2019   21:40   70
11/2/2019   22:40   60
11/2/2019   23:40   50
12/2/2019   0:40   40
12/2/2019   1:40   40
12/2/2019   2:40   40
12/2/2019   3:40   32
12/2/2019   4:40   32
12/2/2019   5:40   32
12/2/2019   6:40   33
12/2/2019   7:40   33
12/2/2019   8:40   33
12/2/2019   9:40   34
12/2/2019   10:40   34
12/2/2019   11:40   34
12/2/2019   12:40   70
12/2/2019   13:40   72
12/2/2019   14:40   72
12/2/2019   15:40   72
12/2/2019   16:40   72
12/2/2019   17:40   75
12/2/2019   18:40   78
12/2/2019   19:40   80
12/2/2019   20:40   75
12/2/2019   21:40   70
12/2/2019   22:40   60
12/2/2019   23:40   50
13/2/2019   0:40   40
13/2/2019   1:40   40
13/2/2019   2:40   40
13/2/2019   3:40   32
13/2/2019   4:40   32
13/2/2019   5:40   32
13/2/2019   6:40   33
13/2/2019   7:40   33
13/2/2019   8:40   33
13/2/2019   9:40   34
13/2/2019   10:40   34
13/2/2019   11:40   34
13/2/2019   12:40   70
13/2/2019   13:40   72
13/2/2019   14:40   72
13/2/2019   15:40   72
13/2/2019   16:40   72
13/2/2019   17:40   75
13/2/2019   18:40   78
13/2/2019   19:40   80
13/2/2019   20:40   75
13/2/2019   21:40   70
13/2/2019   22:40   60
13/2/2019   23:40   50
14/2/2019   0:40   40
14/2/2019   1:40   40
14/2/2019   2:40   40
14/2/2019   3:40   32
14/2/2019   4:40   32
14/2/2019   5:40   32
14/2/2019   6:40   33
14/2/2019   7:40   33
14/2/2019   8:40   33
14/2/2019   9:40   34
14/2/2019   10:40   34
14/2/2019   11:40   34
14/2/2019   12:40   70
14/2/2019   13:40   72
14/2/2019   14:40   72
14/2/2019   15:40   72
14/2/2019   16:40   72
14/2/2019   17:40   75
14/2/2019   18:40   78
14/2/2019   19:40   80
14/2/2019   20:40   75
14/2/2019   21:40   70
14/2/2019   22:40   60
14/2/2019   23:40   50
15/2/2019   0:40   40
15/2/2019   1:40   40
15/2/2019   2:40   40
15/2/2019   3:40   32
15/2/2019   4:40   32
15/2/2019   5:40   32
15/2/2019   6:40   33
15/2/2019   7:40   33
15/2/2019   8:40   33
15/2/2019   9:40   34
15/2/2019   10:40   34
15/2/2019   11:40   34
15/2/2019   12:40   70
15/2/2019   13:40   72
15/2/2019   14:40   72
15/2/2019   15:40   72
15/2/2019   16:40   72
15/2/2019   17:40   75
15/2/2019   18:40   78
15/2/2019   19:40   80
15/2/2019   20:40   75
15/2/2019   21:40   70
15/2/2019   22:40   60
15/2/2019   23:40   50
16/2/2019   0:40   40
16/2/2019   1:40   40
16/2/2019   2:40   40
16/2/2019   3:40   32
16/2/2019   4:40   32
16/2/2019   5:40   32
16/2/2019   6:40   33
16/2/2019   7:40   33
16/2/2019   8:40   33
16/2/2019   9:40   34
16/2/2019   10:40   34
16/2/2019   11:40   34
16/2/2019   12:40   70
16/2/2019   13:40   72
16/2/2019   14:40   72
16/2/2019   15:40   72
16/2/2019   16:40   72
16/2/2019   17:40   75
16/2/2019   18:40   78
16/2/2019   19:40   80
16/2/2019   20:40   75
16/2/2019   21:40   70
16/2/2019   22:40   60
16/2/2019   23:40   50
17/2/2019   0:40   40
17/2/2019   1:40   40
17/2/2019   2:40   40
17/2/2019   3:40   32
17/2/2019   4:40   32
17/2/2019   5:40   32
17/2/2019   6:40   33
17/2/2019   7:40   33
17/2/2019   8:40   33
17/2/2019   9:40   34
17/2/2019   10:40   34
17/2/2019   11:40   34
17/2/2019   12:40   70
17/2/2019   13:40   72
17/2/2019   14:40   72
17/2/2019   15:40   72
17/2/2019   16:40   72
17/2/2019   17:40   75
17/2/2019   18:40   78
17/2/2019   19:40   80
17/2/2019   20:40   75
17/2/2019   21:40   70
17/2/2019   22:40   60
17/2/2019   23:40   50
18/2/2019   0:40   40
18/2/2019   1:40   40
18/2/2019   2:40   40
18/2/2019   3:40   32
18/2/2019   4:40   32
18/2/2019   5:40   32
18/2/2019   6:40   33
18/2/2019   7:40   33
18/2/2019   8:40   33
18/2/2019   9:40   34
18/2/2019   10:40   34
18/2/2019   11:40   34
18/2/2019   12:40   70
18/2/2019   13:40   72
18/2/2019   14:40   72
18/2/2019   15:40   72
18/2/2019   16:40   72
18/2/2019   17:40   75
18/2/2019   18:40   78
18/2/2019   19:40   80
18/2/2019   20:40   75
18/2/2019   21:40   70
18/2/2019   22:40   60
18/2/2019   23:40   50
19/2/2019   0:40   40
19/2/2019   1:40   40
19/2/2019   2:40   40
19/2/2019   3:40   32
19/2/2019   4:40   32
19/2/2019   5:40   32
19/2/2019   6:40   33
19/2/2019   7:40   33
19/2/2019   8:40   33
19/2/2019   9:40   34
19/2/2019   10:40   34
19/2/2019   11:40   34
19/2/2019   12:40   70
19/2/2019   13:40   72
19/2/2019   14:40   72
19/2/2019   15:40   72
19/2/2019   16:40   72
19/2/2019   17:40   75
19/2/2019   18:40   78
19/2/2019   19:40   80
19/2/2019   20:40   75
19/2/2019   21:40   70
19/2/2019   22:40   60
19/2/2019   23:40   50
20/2/2019   0:40   40
20/2/2019   1:40   40
20/2/2019   2:40   40
20/2/2019   3:40   32
20/2/2019   4:40   32
20/2/2019   5:40   32
20/2/2019   6:40   33
20/2/2019   7:40   33
20/2/2019   8:40   33
20/2/2019   9:40   34
20/2/2019   10:40   34
20/2/2019   11:40   34
20/2/2019   12:40   70
20/2/2019   13:40   72
20/2/2019   14:40   72
20/2/2019   15:40   72
20/2/2019   16:40   72
20/2/2019   17:40   75
20/2/2019   18:40   78
20/2/2019   19:40   80
20/2/2019   20:40   75
20/2/2019   21:40   70
20/2/2019   22:40   60
20/2/2019   23:40   50
20/2/2019   0:40   40
21/2/2019   1:40   40
21/2/2019   2:40   40
21/2/2019   3:40   32
21/2/2019   4:40   32
21/2/2019   5:40   32
21/2/2019   6:40   33
21/2/2019   7:40   33
21/2/2019   8:40   33
21/2/2019   9:40   34
21/2/2019   10:40   34
21/2/2019   11:40   34
21/2/2019   12:40   70
21/2/2019   13:40   72
21/2/2019   14:40   72
21/2/2019   15:40   72
21/2/2019   16:40   72
21/2/2019   17:40   75
21/2/2019   18:40   78
21/2/2019   19:40   80
21/2/2019   20:40   75
21/2/2019   21:40   70
21/2/2019   22:40   60
21/2/2019   23:40   50
22/2/2019   0:40   40
22/2/2019   1:40   40
22/2/2019   2:40   40
22/2/2019   3:40   32
22/2/2019   4:40   32
22/2/2019   5:40   32
22/2/2019   6:40   33
22/2/2019   7:40   33
22/2/2019   8:40   33
22/2/2019   9:40   34
22/2/2019   10:40   34
22/2/2019   11:40   34
22/2/2019   12:40   70
22/2/2019   13:40   72
22/2/2019   14:40   72
22/2/2019   15:40   72
22/2/2019   16:40   72
22/2/2019   17:40   75
22/2/2019   18:40   78
22/2/2019   19:40   80
22/2/2019   20:40   75
22/2/2019   21:40   70
22/2/2019   22:40   60
22/2/2019   23:40   50
23/2/2019   0:40   40
23/2/2019   1:40   40
23/2/2019   2:40   40
23/2/2019   3:40   32
23/2/2019   4:40   32
23/2/2019   5:40   32
23/2/2019   6:40   33
23/2/2019   7:40   33
23/2/2019   8:40   33
23/2/2019   9:40   34
23/2/2019   10:40   34
23/2/2019   11:40   34
23/2/2019   12:40   70
23/2/2019   13:40   72
23/2/2019   14:40   72
23/2/2019   15:40   72
23/2/2019   16:40   72
23/2/2019   17:40   75
23/2/2019   18:40   78
23/2/2019   19:40   80
23/2/2019   20:40   75
23/2/2019   21:40   70
23/2/2019   22:40   60
23/2/2019   23:40   50
24/2/2019   0:40   40
24/2/2019   1:40   40
24/2/2019   2:40   40
24/2/2019   3:40   32
24/2/2019   4:40   32
24/2/2019   5:40   32
24/2/2019   6:40   33
24/2/2019   7:40   33
24/2/2019   8:40   33
24/2/2019   9:40   34
24/2/2019   10:40   34
24/2/2019   11:40   34
24/2/2019   12:40   70
24/2/2019   13:40   72
24/2/2019   14:40   72
24/2/2019   15:40   72
24/2/2019   16:40   72
24/2/2019   17:40   75
24/2/2019   18:40   78
24/2/2019   19:40   80
24/2/2019   20:40   75
24/2/2019   21:40   70
24/2/2019   22:40   60
24/2/2019   23:40   50
25/2/2019   0:40   40
25/2/2019   1:40   40
25/2/2019   2:40   40
25/2/2019   3:40   32
25/2/2019   4:40   32
25/2/2019   5:40   32
25/2/2019   6:40   33
25/2/2019   7:40   33
25/2/2019   8:40   33
25/2/2019   9:40   34
25/2/2019   10:40   34
25/2/2019   11:40   34
25/2/2019   12:40   70
25/2/2019   13:40   72
25/2/2019   14:40   72
25/2/2019   15:40   72
25/2/2019   16:40   72
25/2/2019   17:40   75
25/2/2019   18:40   78
25/2/2019   19:40   80
25/2/2019   20:40   75
25/2/2019   21:40   70
25/2/2019   22:40   60
25/2/2019   23:40   50
26/2/2019   0:40   40
26/2/2019   1:40   40
26/2/2019   2:40   40
26/2/2019   3:40   32
26/2/2019   4:40   32
26/2/2019   5:40   32
26/2/2019   6:40   33
26/2/2019   7:40   33
26/2/2019   8:40   33
26/2/2019   9:40   34
26/2/2019   10:40   34
26/2/2019   11:40   34
26/2/2019   12:40   70
26/2/2019   13:40   72
26/2/2019   14:40   72
26/2/2019   15:40   72
26/2/2019   16:40   72
26/2/2019   17:40   75
26/2/2019   18:40   78
26/2/2019   19:40   80
26/2/2019   20:40   75
26/2/2019   21:40   70
26/2/2019   22:40   60
26/2/2019   23:40   50
27/2/2019   0:40   40
27/2/2019   1:40   40
27/2/2019   2:40   40
27/2/2019   3:40   32
27/2/2019   4:40   32
27/2/2019   5:40   32
27/2/2019   6:40   33
27/2/2019   7:40   33
27/2/2019   8:40   33
27/2/2019   9:40   34
27/2/2019   10:40   34
27/2/2019   11:40   34
27/2/2019   12:40   70
27/2/2019   13:40   72
27/2/2019   14:40   72
27/2/2019   15:40   72
27/2/2019   16:40   72
27/2/2019   17:40   75
27/2/2019   18:40   78
27/2/2019   19:40   80
27/2/2019   20:40   75
27/2/2019   21:40   70
27/2/2019   22:40   60
27/2/2019   23:40   50
28/2/2019   0:40   40
28/2/2019   1:40   40
28/2/2019   2:40   40
28/2/2019   3:40   32
28/2/2019   4:40   32
28/2/2019   5:40   32
28/2/2019   6:40   33
28/2/2019   7:40   33
28/2/2019   8:40   33
28/2/2019   9:40   34
28/2/2019   10:40   34
28/2/2019   11:40   34
28/2/2019   12:40   70
28/2/2019   13:40   72
28/2/2019   14:40   72
28/2/2019   15:40   72
28/2/2019   16:40   72
28/2/2019   17:40   75
28/2/2019   18:40   78
28/2/2019   19:40   80
28/2/2019   20:40   75
28/2/2019   21:40   70
28/2/2019   22:40   60
28/2/2019   23:40   50
1/3/2019   0:40   40
1/3/2019   1:40   40
1/3/2019   2:40   40
1/3/2019   3:40   32
1/3/2019   4:40   32
1/3/2019   5:40   32
1/3/2019   6:40   33
1/3/2019   7:40   33
1/3/2019   8:40   33
1/3/2019   9:40   34
1/3/2019   10:40   34
1/3/2019   11:40   34
1/3/2019   12:40   70
1/3/2019   13:40   72
1/3/2019   14:40   72
1/3/2019   15:40   72
1/3/2019   16:40   72
1/3/2019   17:40   75
1/3/2019   18:40   78
1/3/2019   19:40   80
1/3/2019   20:40   75
1/3/2019   21:40   70
1/3/2019   22:40   60
1/3/2019   23:40   50
2/3/2019   0:40   40
2/3/2019   1:40   40
2/3/2019   2:40   40
2/3/2019   3:40   32
2/3/2019   4:40   32
2/3/2019   5:40   32
2/3/2019   6:40   33
2/3/2019   7:40   33
2/3/2019   8:40   33
2/3/2019   9:40   34
2/3/2019   10:40   34
2/3/2019   11:40   34
2/3/2019   12:40   70
2/3/2019   13:40   72
2/3/2019   14:40   72
2/3/2019   15:40   72
2/3/2019   16:40   72
2/3/2019   17:40   75
2/3/2019   18:40   78
2/3/2019   19:40   80
2/3/2019   20:40   75
2/3/2019   21:40   70
2/3/2019   22:40   60
2/3/2019   23:40   50
3/3/2019   0:40   40
3/3/2019   1:40   40
3/3/2019   2:40   40
3/3/2019   3:40   32
3/3/2019   4:40   32
3/3/2019   5:40   32
3/3/2019   6:40   33
3/3/2019   7:40   33
3/3/2019   8:40   33
3/3/2019   9:40   34
3/3/2019   10:40   34
3/3/2019   11:40   34
3/3/2019   12:40   70
3/3/2019   13:40   72
3/3/2019   14:40   72
3/3/2019   15:40   72
3/3/2019   16:40   72
3/3/2019   17:40   75
3/3/2019   18:40   78
3/3/2019   19:40   80
3/3/2019   20:40   75
3/3/2019   21:40   70
3/3/2019   22:40   60
3/3/2019   23:40   50
4/3/2019   0:40   40
4/3/2019   1:40   40
4/3/2019   2:40   40
4/3/2019   3:40   32
4/3/2019   4:40   32
4/3/2019   5:40   32
4/3/2019   6:40   33
4/3/2019   7:40   33
4/3/2019   8:40   33
4/3/2019   9:40   34
4/3/2019   10:40   34
4/3/2019   11:40   34
4/3/2019   12:40   70
4/3/2019   13:40   72
4/3/2019   14:40   72
4/3/2019   15:40   72
4/3/2019   16:40   72
4/3/2019   17:40   75
4/3/2019   18:40   78
4/3/2019   19:40   80
4/3/2019   20:40   75
4/3/2019   21:40   70
4/3/2019   22:40   60
4/3/2019   23:40   50
5/3/2019   0:40   40
5/3/2019   1:40   40
5/3/2019   2:40   40
5/3/2019   3:40   32
5/3/2019   4:40   32
5/3/2019   5:40   32
5/3/2019   6:40   33
5/3/2019   7:40   33
5/3/2019   8:40   33
5/3/2019   9:40   34
5/3/2019   10:40   34
5/3/2019   11:40   34
5/3/2019   12:40   70
5/3/2019   13:40   72
5/3/2019   14:40   72
5/3/2019   15:40   72
5/3/2019   16:40   72
5/3/2019   17:40   75
5/3/2019   18:40   78
5/3/2019   19:40   80
5/3/2019   20:40   75
5/3/2019   21:40   70
5/3/2019   22:40   60
5/3/2019   23:40   50
6/3/2019   0:40   40
6/3/2019   1:40   40
6/3/2019   2:40   40
6/3/2019   3:40   32
6/3/2019   4:40   32
6/3/2019   5:40   32
6/3/2019   6:40   33
6/3/2019   7:40   33
6/3/2019   8:40   33
6/3/2019   9:40   34
6/3/2019   10:40   34
6/3/2019   11:40   34
6/3/2019   12:40   70
6/3/2019   13:40   72
6/3/2019   14:40   72
6/3/2019   15:40   72
6/3/2019   16:40   72
6/3/2019   17:40   75
6/3/2019   18:40   78
6/3/2019   19:40   80
6/3/2019   20:40   75
6/3/2019   21:40   70
6/3/2019   22:40   60
6/3/2019   23:40   50
7/3/2019   0:40   40
7/3/2019   1:40   40
7/3/2019   2:40   40
7/3/2019   3:40   32
7/3/2019   4:40   32
7/3/2019   5:40   32
7/3/2019   6:40   33
7/3/2019   7:40   33
7/3/2019   8:40   33
7/3/2019   9:40   34
7/3/2019   10:40   34
7/3/2019   11:40   34
7/3/2019   12:40   70
7/3/2019   13:40   72
7/3/2019   14:40   72
7/3/2019   15:40   72
7/3/2019   16:40   72
7/3/2019   17:40   75
7/3/2019   18:40   78
1/3/2019   19:40   80
7/3/2019   20:40   75
7/3/2019   21:40   70
7/3/2019   22:40   60
7/3/2019   23:40   50
8/3/2019   0:40   40
8/3/2019   1:40   40
8/3/2019   2:40   40
8/3/2019   3:40   32
8/3/2019   4:40   32
8/3/2019   5:40   32
8/3/2019   6:40   33
8/3/2019   7:40   33
8/3/2019   8:40   33
8/3/2019   9:40   34
8/3/2019   10:40   34
8/3/2019   11:40   34
8/3/2019   12:40   70
8/3/2019   13:40   72
8/3/2019   14:40   72
8/3/2019   15:40   72
8/3/2019   16:40   72
8/3/2019   17:40   75
8/3/2019   18:40   78
8/3/2019   19:40   80
8/3/2019   20:40   75
8/3/2019   21:40   70
8/3/2019   22:40   60
8/3/2019   23:40   50
9/3/2019   0:40   40
9/3/2019   1:40   40
9/3/2019   2:40   40
9/3/2019   3:40   32
9/3/2019   4:40   32
9/3/2019   5:40   32
9/3/2019   6:40   33
9/3/2019   7:40   33
9/3/2019   8:40   33
9/3/2019   9:40   34
9/3/2019   10:40   34
9/3/2019   11:40   34
9/3/2019   12:40   70
9/3/2019   13:40   72
9/3/2019   14:40   72
9/3/2019   15:40   72
9/3/2019   16:40   72
9/3/2019   17:40   75
9/3/2019   18:40   78
9/3/2019   19:40   80
9/3/2019   20:40   75
9/3/2019   21:40   70
9/3/2019   22:40   60
9/3/2019   23:40   50
10/3/2019   0:40   40
10/3/2019   1:40   40
10/3/2019   2:40   40
10/3/2019   3:40   32
10/3/2019   4:40   32
10/3/2019   5:40   32
10/3/2019   6:40   33
10/3/2019   7:40   33
10/3/2019   8:40   33
10/3/2019   9:40   34
10/3/2019   10:40   34
10/3/2019   11:40   34
10/3/2019   12:40   70
10/3/2019   13:40   72
10/3/2019   14:40   72
10/3/2019   15:40   72
10/3/2019   16:40   72
10/3/2019   17:40   75
10/3/2019   18:40   78
10/3/2019   19:40   80
10/3/2019   20:40   75
10/3/2019   21:40   70
10/3/2019   22:40   60
10/3/2019   23:40   50
10/3/2019   0:40   40
11/3/2019   1:40   40
11/3/2019   2:40   40
11/3/2019   3:40   32
11/3/2019   4:40   32
11/3/2019   5:40   32
11/3/2019   6:40   33
11/3/2019   7:40   33
11/3/2019   8:40   33
11/3/2019   9:40   34
11/3/2019   10:40   34
11/3/2019   11:40   34
11/3/2019   12:40   70
11/3/2019   13:40   72
11/3/2019   14:40   72
11/3/2019   15:40   72
11/3/2019   16:40   72
11/3/2019   17:40   75
11/3/2019   18:40   78
11/3/2019   19:40   80
11/3/2019   20:40   75
11/3/2019   21:40   70
11/3/2019   22:40   60
11/3/2019   23:40   50
12/3/2019   0:40   40
12/3/2019   1:40   40
12/3/2019   2:40   40
12/3/2019   3:40   32
12/3/2019   4:40   32
12/3/2019   5:40   32
12/3/2019   6:40   33
12/3/2019   7:40   33
12/3/2019   8:40   33
12/3/2019   9:40   34
12/3/2019   10:40   34
12/3/2019   11:40   34
12/3/2019   12:40   70
12/3/2019   13:40   72
12/3/2019   14:40   72
12/3/2019   15:40   72
12/3/2019   16:40   72
12/3/2019   17:40   75
12/3/2019   18:40   78
12/3/2019   19:40   80
12/3/2019   20:40   75
12/3/2019   21:40   70
12/3/2019   22:40   60
12/3/2019   23:40   50
13/3/2019   0:40   40
13/3/2019   1:40   40
13/3/2019   2:40   40
13/3/2019   3:40   32
13/3/2019   4:40   32
13/3/2019   5:40   32
13/3/2019   6:40   33
13/3/2019   7:40   33
13/3/2019   8:40   33
13/3/2019   9:40   34
13/3/2019   10:40   34
13/3/2019   11:40   34
13/3/2019   12:40   70
13/3/2019   13:40   72
13/3/2019   14:40   72
13/3/2019   15:40   72
13/3/2019   16:40   72
13/3/2019   17:40   75
13/3/2019   18:40   78
13/3/2019   19:40   80
13/3/2019   20:40   75
13/3/2019   21:40   70
13/3/2019   22:40   60
13/3/2019   23:40   50
14/3/2019   0:40   40
14/3/2019   1:40   40
14/3/2019   2:40   40
14/3/2019   3:40   32
14/3/2019   4:40   32
14/3/2019   5:40   32
14/3/2019   6:40   33
14/3/2019   7:40   33
14/3/2019   8:40   33
14/3/2019   9:40   34
14/3/2019   10:40   34
14/3/2019   11:40   34
14/3/2019   12:40   70
14/3/2019   13:40   72
14/3/2019   14:40   72
14/3/2019   15:40   72
14/3/2019   16:40   72
14/3/2019   17:40   75
14/3/2019   18:40   78
14/3/2019   19:40   80
14/3/2019   20:40   75
14/3/2019   21:40   70
14/3/2019   22:40   60
14/3/2019   23:40   50
15/3/2019   0:40   40
15/3/2019   1:40   40
15/3/2019   2:40   40
15/3/2019   3:40   32
15/3/2019   4:40   32
15/3/2019   5:40   32
15/3/2019   6:40   33
15/3/2019   7:40   33
15/3/2019   8:40   33
15/3/2019   9:40   34
15/3/2019   10:40   34
15/3/2019   11:40   34
15/3/2019   12:40   70
15/3/2019   13:40   72
15/3/2019   14:40   72
15/3/2019   15:40   72
15/3/2019   16:40   72
15/3/2019   17:40   75
15/3/2019   18:40   78
15/3/2019   19:40   80
15/3/2019   20:40   75
15/3/2019   21:40   70
15/3/2019   22:40   60
15/3/2019   23:40   50
16/3/2019   0:40   40
16/3/2019   1:40   40
16/3/2019   2:40   40
16/3/2019   3:40   32
16/3/2019   4:40   32
16/3/2019   5:40   32
16/3/2019   6:40   33
16/3/2019   7:40   33
16/3/2019   8:40   33
16/3/2019   9:40   34
16/3/2019   10:40   34
16/3/2019   11:40   34
16/3/2019   12:40   70
16/3/2019   13:40   72
16/3/2019   14:40   72
16/3/2019   15:40   72
16/3/2019   16:40   72
16/3/2019   17:40   75
16/3/2019   18:40   78
16/3/2019   19:40   80
16/3/2019   20:40   75
16/3/2019   21:40   70
16/3/2019   22:40   60
16/3/2019   23:40   50
17/3/2019   0:40   40
17/3/2019   1:40   40
17/3/2019   2:40   40
17/3/2019   3:40   32
17/3/2019   4:40   32
17/3/2019   5:40   32
17/3/2019   6:40   33
17/3/2019   7:40   33
17/3/2019   8:40   33
17/3/2019   9:40   34
17/3/2019   10:40   34
17/3/2019   11:40   34
17/3/2019   12:40   70
17/3/2019   13:40   72
17/3/2019   14:40   72
17/3/2019   15:40   72
17/3/2019   16:40   72
17/3/2019   17:40   75
