DATE       HOUR    Temperatura
4/2/2019   16:20   15
4/2/2019   17:20   20
4/2/2019   18:20   25
4/2/2019   19:20   20
4/2/2019   20:20   15
4/2/2019   21:20   10
4/2/2019   22:20   5
4/2/2019   23:20   0
5/2/2019   0:20   5
5/2/2019   1:20   10
5/2/2019   2:20   15
5/2/2019   3:20   20
5/2/2019   4:20   25
5/2/2019   5:20   20
5/2/2019   6:20   15
5/2/2019   7:20   10
5/2/2019   8:20   5
5/2/2019   9:20   0
5/2/2019   10:20   -5
5/2/2019   11:20   -10
5/2/2019   12:20   -5
5/2/2019   13:20   0
5/2/2019   14:20   5
5/2/2019   15:20   10
5/2/2019   16:20   15
5/2/2019   17:20   20
5/2/2019   18:20   25
5/2/2019   19:20   20
5/2/2019   20:20   15
5/2/2019   21:20   10
5/2/2019   22:20   5
5/2/2019   23:20   0
6/2/2019   0:20   5
6/2/2019   1:20   10
6/2/2019   2:20   15
6/2/2019   3:20   20
6/2/2019   4:20   25
6/2/2019   5:20   20
6/2/2019   6:20   15
6/2/2019   7:20   10
6/2/2019   8:20   5
6/2/2019   9:20   0
6/2/2019   10:20   -5
6/2/2019   11:20   -10
6/2/2019   12:20   -5
6/2/2019   13:20   0
6/2/2019   14:20   5
6/2/2019   15:20   10
6/2/2019   16:20   15
6/2/2019   17:20   20
6/2/2019   18:20   25
6/2/2019   19:20   20
6/2/2019   20:20   15
6/2/2019   21:20   10
6/2/2019   22:20   5
6/2/2019   23:20   0
7/2/2019   0:20   5
7/2/2019   1:20   10
7/2/2019   2:20   15
7/2/2019   3:20   20
7/2/2019   4:20   25
7/2/2019   5:20   20
7/2/2019   6:20   15
7/2/2019   7:20   10
7/2/2019   8:20   5
7/2/2019   9:20   0
7/2/2019   10:20   -5
7/2/2019   11:20   -10
7/2/2019   12:20   -5
7/2/2019   13:20   0
7/2/2019   14:20   5
7/2/2019   15:20   10
7/2/2019   16:20   15
7/2/2019   17:20   20
7/2/2019   18:20   25
1/2/2019   19:20   20
7/2/2019   20:20   15
7/2/2019   21:20   10
7/2/2019   22:20   5
7/2/2019   23:20   0
8/2/2019   0:20   5
8/2/2019   1:20   10
8/2/2019   2:20   15
8/2/2019   3:20   20
8/2/2019   4:20   25
8/2/2019   5:20   20
8/2/2019   6:20   15
8/2/2019   7:20   10
8/2/2019   8:20   5
8/2/2019   9:20   0
8/2/2019   10:20   -5
8/2/2019   11:20   -10
8/2/2019   12:20   -5
8/2/2019   13:20   0
8/2/2019   14:20   5
8/2/2019   15:20   10
8/2/2019   16:20   15
8/2/2019   17:20   20
8/2/2019   18:20   25
8/2/2019   19:20   20
8/2/2019   20:20   15
8/2/2019   21:20   10
8/2/2019   22:20   5
8/2/2019   23:20   0
9/2/2019   0:20   5
9/2/2019   1:20   10
9/2/2019   2:20   15
9/2/2019   3:20   20
9/2/2019   4:20   25
9/2/2019   5:20   20
9/2/2019   6:20   15
9/2/2019   7:20   10
9/2/2019   8:20   5
9/2/2019   9:20   0
9/2/2019   10:20   -5
9/2/2019   11:20   -10
9/2/2019   12:20   -5
9/2/2019   13:20   0
9/2/2019   14:20   5
9/2/2019   15:20   10
9/2/2019   16:20   15
9/2/2019   17:20   20
9/2/2019   18:20   25
9/2/2019   19:20   20
9/2/2019   20:20   15
9/2/2019   21:20   10
9/2/2019   22:20   5
9/2/2019   23:20   0
10/2/2019   0:20   5
10/2/2019   1:20   10
10/2/2019   2:20   15
10/2/2019   3:20   20
10/2/2019   4:20   25
10/2/2019   5:20   20
10/2/2019   6:20   15
10/2/2019   7:20   10
10/2/2019   8:20   5
10/2/2019   9:20   0
10/2/2019   10:20   -5
10/2/2019   11:20   -10
10/2/2019   12:20   -5
10/2/2019   13:20   0
10/2/2019   14:20   5
10/2/2019   15:20   10
10/2/2019   16:20   15
10/2/2019   17:20   20
10/2/2019   18:20   25
10/2/2019   19:20   20
10/2/2019   20:20   15
10/2/2019   21:20   10
10/2/2019   22:20   5
10/2/2019   23:20   0
10/2/2019   0:20   5
11/2/2019   1:20   10
11/2/2019   2:20   15
11/2/2019   3:20   20
11/2/2019   4:20   25
11/2/2019   5:20   20
11/2/2019   6:20   15
11/2/2019   7:20   10
11/2/2019   8:20   5
11/2/2019   9:20   0
11/2/2019   10:20   -5
11/2/2019   11:20   -10
11/2/2019   12:20   -5
11/2/2019   13:20   0
11/2/2019   14:20   5
11/2/2019   15:20   10
11/2/2019   16:20   15
11/2/2019   17:20   20
11/2/2019   18:20   25
11/2/2019   19:20   20
11/2/2019   20:20   15
11/2/2019   21:20   10
11/2/2019   22:20   5
11/2/2019   23:20   0
12/2/2019   0:20   5
12/2/2019   1:20   10
12/2/2019   2:20   15
12/2/2019   3:20   20
12/2/2019   4:20   25
12/2/2019   5:20   20
12/2/2019   6:20   15
12/2/2019   7:20   10
12/2/2019   8:20   5
12/2/2019   9:20   0
12/2/2019   10:20   -5
12/2/2019   11:20   -10
12/2/2019   12:20   -5
12/2/2019   13:20   0
12/2/2019   14:20   5
12/2/2019   15:20   10
12/2/2019   16:20   15
12/2/2019   17:20   20
12/2/2019   18:20   25
12/2/2019   19:20   20
12/2/2019   20:20   15
12/2/2019   21:20   10
12/2/2019   22:20   5
12/2/2019   23:20   0
13/2/2019   0:20   5
13/2/2019   1:20   10
13/2/2019   2:20   15
13/2/2019   3:20   20
13/2/2019   4:20   25
13/2/2019   5:20   20
13/2/2019   6:20   15
13/2/2019   7:20   10
13/2/2019   8:20   5
13/2/2019   9:20   0
13/2/2019   10:20   -5
13/2/2019   11:20   -10
13/2/2019   12:20   -5
13/2/2019   13:20   0
13/2/2019   14:20   5
13/2/2019   15:20   10
13/2/2019   16:20   15
13/2/2019   17:20   20
13/2/2019   18:20   25
13/2/2019   19:20   20
13/2/2019   20:20   15
13/2/2019   21:20   10
13/2/2019   22:20   5
13/2/2019   23:20   0
14/2/2019   0:20   5
14/2/2019   1:20   10
14/2/2019   2:20   15
14/2/2019   3:20   20
14/2/2019   4:20   25
14/2/2019   5:20   20
14/2/2019   6:20   15
14/2/2019   7:20   10
14/2/2019   8:20   5
14/2/2019   9:20   0
14/2/2019   10:20   -5
14/2/2019   11:20   -10
14/2/2019   12:20   -5
14/2/2019   13:20   0
14/2/2019   14:20   5
14/2/2019   15:20   10
14/2/2019   16:20   15
14/2/2019   17:20   20
14/2/2019   18:20   25
14/2/2019   19:20   20
14/2/2019   20:20   15
14/2/2019   21:20   10
14/2/2019   22:20   5
14/2/2019   23:20   0
15/2/2019   0:20   5
15/2/2019   1:20   10
15/2/2019   2:20   15
15/2/2019   3:20   20
15/2/2019   4:20   25
15/2/2019   5:20   20
15/2/2019   6:20   15
15/2/2019   7:20   10
15/2/2019   8:20   5
15/2/2019   9:20   0
15/2/2019   10:20   -5
15/2/2019   11:20   -10
15/2/2019   12:20   -5
15/2/2019   13:20   0
15/2/2019   14:20   5
15/2/2019   15:20   10
15/2/2019   16:20   15
15/2/2019   17:20   20
15/2/2019   18:20   25
15/2/2019   19:20   20
15/2/2019   20:20   15
15/2/2019   21:20   10
15/2/2019   22:20   5
15/2/2019   23:20   0
16/2/2019   0:20   5
16/2/2019   1:20   10
16/2/2019   2:20   15
16/2/2019   3:20   20
16/2/2019   4:20   25
16/2/2019   5:20   20
16/2/2019   6:20   15
16/2/2019   7:20   10
16/2/2019   8:20   5
16/2/2019   9:20   0
16/2/2019   10:20   -5
16/2/2019   11:20   -10
16/2/2019   12:20   -5
16/2/2019   13:20   0
16/2/2019   14:20   5
16/2/2019   15:20   10
16/2/2019   16:20   15
16/2/2019   17:20   20
16/2/2019   18:20   25
16/2/2019   19:20   20
16/2/2019   20:20   15
16/2/2019   21:20   10
16/2/2019   22:20   5
16/2/2019   23:20   0
17/2/2019   0:20   5
17/2/2019   1:20   10
17/2/2019   2:20   15
17/2/2019   3:20   20
17/2/2019   4:20   25
17/2/2019   5:20   20
17/2/2019   6:20   15
17/2/2019   7:20   10
17/2/2019   8:20   5
17/2/2019   9:20   0
17/2/2019   10:20   -5
17/2/2019   11:20   -10
17/2/2019   12:20   -5
17/2/2019   13:20   0
17/2/2019   14:20   5
17/2/2019   15:20   10
17/2/2019   16:20   15
17/2/2019   17:20   20
17/2/2019   18:20   25
17/2/2019   19:20   20
17/2/2019   20:20   15
17/2/2019   21:20   10
17/2/2019   22:20   5
17/2/2019   23:20   0
18/2/2019   0:20   5
18/2/2019   1:20   10
18/2/2019   2:20   15
18/2/2019   3:20   20
18/2/2019   4:20   25
18/2/2019   5:20   20
18/2/2019   6:20   15
18/2/2019   7:20   10
18/2/2019   8:20   5
18/2/2019   9:20   0
18/2/2019   10:20   -5
18/2/2019   11:20   -10
18/2/2019   12:20   -5
18/2/2019   13:20   0
18/2/2019   14:20   5
18/2/2019   15:20   10
18/2/2019   16:20   15
18/2/2019   17:20   20
18/2/2019   18:20   25
18/2/2019   19:20   20
18/2/2019   20:20   15
18/2/2019   21:20   10
18/2/2019   22:20   5
18/2/2019   23:20   0
19/2/2019   0:20   5
19/2/2019   1:20   10
19/2/2019   2:20   15
19/2/2019   3:20   20
19/2/2019   4:20   25
19/2/2019   5:20   20
19/2/2019   6:20   15
19/2/2019   7:20   10
19/2/2019   8:20   5
19/2/2019   9:20   0
19/2/2019   10:20   -5
19/2/2019   11:20   -10
19/2/2019   12:20   -5
19/2/2019   13:20   0
19/2/2019   14:20   5
19/2/2019   15:20   10
19/2/2019   16:20   15
19/2/2019   17:20   20
19/2/2019   18:20   25
19/2/2019   19:20   20
19/2/2019   20:20   15
19/2/2019   21:20   10
19/2/2019   22:20   5
19/2/2019   23:20   0
20/2/2019   0:20   5
20/2/2019   1:20   10
20/2/2019   2:20   15
20/2/2019   3:20   20
20/2/2019   4:20   25
20/2/2019   5:20   20
20/2/2019   6:20   15
20/2/2019   7:20   10
20/2/2019   8:20   5
20/2/2019   9:20   0
20/2/2019   10:20   -5
20/2/2019   11:20   -10
20/2/2019   12:20   -5
20/2/2019   13:20   0
20/2/2019   14:20   5
20/2/2019   15:20   10
20/2/2019   16:20   15
20/2/2019   17:20   20
20/2/2019   18:20   25
20/2/2019   19:20   20
20/2/2019   20:20   15
20/2/2019   21:20   10
20/2/2019   22:20   5
20/2/2019   23:20   0
20/2/2019   0:20   5
21/2/2019   1:20   10
21/2/2019   2:20   15
21/2/2019   3:20   20
21/2/2019   4:20   25
21/2/2019   5:20   20
21/2/2019   6:20   15
21/2/2019   7:20   10
21/2/2019   8:20   5
21/2/2019   9:20   0
21/2/2019   10:20   -5
21/2/2019   11:20   -10
21/2/2019   12:20   -5
21/2/2019   13:20   0
21/2/2019   14:20   5
21/2/2019   15:20   10
21/2/2019   16:20   15
21/2/2019   17:20   20
21/2/2019   18:20   25
21/2/2019   19:20   20
21/2/2019   20:20   15
21/2/2019   21:20   10
21/2/2019   22:20   5
21/2/2019   23:20   0
22/2/2019   0:20   5
22/2/2019   1:20   10
22/2/2019   2:20   15
22/2/2019   3:20   20
22/2/2019   4:20   25
22/2/2019   5:20   20
22/2/2019   6:20   15
22/2/2019   7:20   10
22/2/2019   8:20   5
22/2/2019   9:20   0
22/2/2019   10:20   -5
22/2/2019   11:20   -10
22/2/2019   12:20   -5
22/2/2019   13:20   0
22/2/2019   14:20   5
22/2/2019   15:20   10
22/2/2019   16:20   15
22/2/2019   17:20   20
22/2/2019   18:20   25
22/2/2019   19:20   20
22/2/2019   20:20   15
22/2/2019   21:20   10
22/2/2019   22:20   5
22/2/2019   23:20   0
23/2/2019   0:20   5
23/2/2019   1:20   10
23/2/2019   2:20   15
23/2/2019   3:20   20
23/2/2019   4:20   25
23/2/2019   5:20   20
23/2/2019   6:20   15
23/2/2019   7:20   10
23/2/2019   8:20   5
23/2/2019   9:20   0
23/2/2019   10:20   -5
23/2/2019   11:20   -10
23/2/2019   12:20   -5
23/2/2019   13:20   0
23/2/2019   14:20   5
23/2/2019   15:20   10
23/2/2019   16:20   15
23/2/2019   17:20   20
23/2/2019   18:20   25
23/2/2019   19:20   20
23/2/2019   20:20   15
23/2/2019   21:20   10
23/2/2019   22:20   5
23/2/2019   23:20   0
24/2/2019   0:20   5
24/2/2019   1:20   10
24/2/2019   2:20   15
24/2/2019   3:20   20
24/2/2019   4:20   25
24/2/2019   5:20   20
24/2/2019   6:20   15
24/2/2019   7:20   10
24/2/2019   8:20   5
24/2/2019   9:20   0
24/2/2019   10:20   -5
24/2/2019   11:20   -10
24/2/2019   12:20   -5
24/2/2019   13:20   0
24/2/2019   14:20   5
24/2/2019   15:20   10
24/2/2019   16:20   15
24/2/2019   17:20   20
24/2/2019   18:20   25
24/2/2019   19:20   20
24/2/2019   20:20   15
24/2/2019   21:20   10
24/2/2019   22:20   5
24/2/2019   23:20   0
25/2/2019   0:20   5
25/2/2019   1:20   10
25/2/2019   2:20   15
25/2/2019   3:20   20
25/2/2019   4:20   25
25/2/2019   5:20   20
25/2/2019   6:20   15
25/2/2019   7:20   10
25/2/2019   8:20   5
25/2/2019   9:20   0
25/2/2019   10:20   -5
25/2/2019   11:20   -10
25/2/2019   12:20   -5
25/2/2019   13:20   0
25/2/2019   14:20   5
25/2/2019   15:20   10
25/2/2019   16:20   15
25/2/2019   17:20   20
25/2/2019   18:20   25
25/2/2019   19:20   20
25/2/2019   20:20   15
25/2/2019   21:20   10
25/2/2019   22:20   5
25/2/2019   23:20   0
26/2/2019   0:20   5
26/2/2019   1:20   10
26/2/2019   2:20   15
26/2/2019   3:20   20
26/2/2019   4:20   25
26/2/2019   5:20   20
26/2/2019   6:20   15
26/2/2019   7:20   10
26/2/2019   8:20   5
26/2/2019   9:20   0
26/2/2019   10:20   -5
26/2/2019   11:20   -10
26/2/2019   12:20   -5
26/2/2019   13:20   0
26/2/2019   14:20   5
26/2/2019   15:20   10
26/2/2019   16:20   15
26/2/2019   17:20   20
26/2/2019   18:20   25
26/2/2019   19:20   20
26/2/2019   20:20   15
26/2/2019   21:20   10
26/2/2019   22:20   5
26/2/2019   23:20   0
27/2/2019   0:20   5
27/2/2019   1:20   10
27/2/2019   2:20   15
27/2/2019   3:20   20
27/2/2019   4:20   25
27/2/2019   5:20   20
27/2/2019   6:20   15
27/2/2019   7:20   10
27/2/2019   8:20   5
27/2/2019   9:20   0
27/2/2019   10:20   -5
27/2/2019   11:20   -10
27/2/2019   12:20   -5
27/2/2019   13:20   0
27/2/2019   14:20   5
27/2/2019   15:20   10
27/2/2019   16:20   15
27/2/2019   17:20   20
27/2/2019   18:20   25
27/2/2019   19:20   20
27/2/2019   20:20   15
27/2/2019   21:20   10
27/2/2019   22:20   5
27/2/2019   23:20   0
28/2/2019   0:20   5
28/2/2019   1:20   10
28/2/2019   2:20   15
28/2/2019   3:20   20
28/2/2019   4:20   25
28/2/2019   5:20   20
28/2/2019   6:20   15
28/2/2019   7:20   10
28/2/2019   8:20   5
28/2/2019   9:20   0
28/2/2019   10:20   -5
28/2/2019   11:20   -10
28/2/2019   12:20   -5
28/2/2019   13:20   0
28/2/2019   14:20   5
28/2/2019   15:20   10
28/2/2019   16:20   15
28/2/2019   17:20   20
28/2/2019   18:20   25
28/2/2019   19:20   20
28/2/2019   20:20   15
28/2/2019   21:20   10
28/2/2019   22:20   5
28/2/2019   23:20   0
1/3/2019   0:20   5
1/3/2019   1:20   10
1/3/2019   2:20   15
1/3/2019   3:20   20
1/3/2019   4:20   25
1/3/2019   5:20   20
1/3/2019   6:20   15
1/3/2019   7:20   10
1/3/2019   8:20   5
1/3/2019   9:20   0
1/3/2019   10:20   -5
1/3/2019   11:20   -10
1/3/2019   12:20   -5
1/3/2019   13:20   0
1/3/2019   14:20   5
1/3/2019   15:20   10
1/3/2019   16:20   15
1/3/2019   17:20   20
1/3/2019   18:20   25
1/3/2019   19:20   20
1/3/2019   20:20   15
1/3/2019   21:20   10
1/3/2019   22:20   5
1/3/2019   23:20   0
2/3/2019   0:20   5
2/3/2019   1:20   10
2/3/2019   2:20   15
2/3/2019   3:20   20
2/3/2019   4:20   25
2/3/2019   5:20   20
2/3/2019   6:20   15
2/3/2019   7:20   10
2/3/2019   8:20   5
2/3/2019   9:20   0
2/3/2019   10:20   -5
2/3/2019   11:20   -10
2/3/2019   12:20   -5
2/3/2019   13:20   0
2/3/2019   14:20   5
2/3/2019   15:20   10
2/3/2019   16:20   15
2/3/2019   17:20   20
2/3/2019   18:20   25
2/3/2019   19:20   20
2/3/2019   20:20   15
2/3/2019   21:20   10
2/3/2019   22:20   5
2/3/2019   23:20   0
3/3/2019   0:20   5
3/3/2019   1:20   10
3/3/2019   2:20   15
3/3/2019   3:20   20
3/3/2019   4:20   25
3/3/2019   5:20   20
3/3/2019   6:20   15
3/3/2019   7:20   10
3/3/2019   8:20   5
3/3/2019   9:20   0
3/3/2019   10:20   -5
3/3/2019   11:20   -10
3/3/2019   12:20   -5
3/3/2019   13:20   0
3/3/2019   14:20   5
3/3/2019   15:20   10
3/3/2019   16:20   15
3/3/2019   17:20   20
3/3/2019   18:20   25
3/3/2019   19:20   20
3/3/2019   20:20   15
3/3/2019   21:20   10
3/3/2019   22:20   5
3/3/2019   23:20   0
4/3/2019   0:20   5
4/3/2019   1:20   10
4/3/2019   2:20   15
4/3/2019   3:20   20
4/3/2019   4:20   25
4/3/2019   5:20   20
4/3/2019   6:20   15
4/3/2019   7:20   10
4/3/2019   8:20   5
4/3/2019   9:20   0
4/3/2019   10:20   -5
4/3/2019   11:20   -10
4/3/2019   12:20   -5
4/3/2019   13:20   0
4/3/2019   14:20   5
4/3/2019   15:20   10
4/3/2019   16:20   15
4/3/2019   17:20   20
4/3/2019   18:20   25
4/3/2019   19:20   20
4/3/2019   20:20   15
4/3/2019   21:20   10
4/3/2019   22:20   5
4/3/2019   23:20   0
5/3/2019   0:20   5
5/3/2019   1:20   10
5/3/2019   2:20   15
5/3/2019   3:20   20
5/3/2019   4:20   25
5/3/2019   5:20   20
5/3/2019   6:20   15
5/3/2019   7:20   10
5/3/2019   8:20   5
5/3/2019   9:20   0
5/3/2019   10:20   -5
5/3/2019   11:20   -10
5/3/2019   12:20   -5
5/3/2019   13:20   0
5/3/2019   14:20   5
5/3/2019   15:20   10
5/3/2019   16:20   15
5/3/2019   17:20   20
5/3/2019   18:20   25
5/3/2019   19:20   20
5/3/2019   20:20   15
5/3/2019   21:20   10
5/3/2019   22:20   5
5/3/2019   23:20   0
6/3/2019   0:20   5
6/3/2019   1:20   10
6/3/2019   2:20   15
6/3/2019   3:20   20
6/3/2019   4:20   25
6/3/2019   5:20   20
6/3/2019   6:20   15
6/3/2019   7:20   10
6/3/2019   8:20   5
6/3/2019   9:20   0
6/3/2019   10:20   -5
6/3/2019   11:20   -10
6/3/2019   12:20   -5
6/3/2019   13:20   0
6/3/2019   14:20   5
6/3/2019   15:20   10
6/3/2019   16:20   15
6/3/2019   17:20   20
6/3/2019   18:20   25
6/3/2019   19:20   20
6/3/2019   20:20   15
6/3/2019   21:20   10
6/3/2019   22:20   5
6/3/2019   23:20   0
7/3/2019   0:20   5
7/3/2019   1:20   10
7/3/2019   2:20   15
7/3/2019   3:20   20
7/3/2019   4:20   25
7/3/2019   5:20   20
7/3/2019   6:20   15
7/3/2019   7:20   10
7/3/2019   8:20   5
7/3/2019   9:20   0
7/3/2019   10:20   -5
7/3/2019   11:20   -10
7/3/2019   12:20   -5
7/3/2019   13:20   0
7/3/2019   14:20   5
7/3/2019   15:20   10
7/3/2019   16:20   15
7/3/2019   17:20   20
7/3/2019   18:20   25
1/3/2019   19:20   20
7/3/2019   20:20   15
7/3/2019   21:20   10
7/3/2019   22:20   5
7/3/2019   23:20   0
8/3/2019   0:20   5
8/3/2019   1:20   10
8/3/2019   2:20   15
8/3/2019   3:20   20
8/3/2019   4:20   25
8/3/2019   5:20   20
8/3/2019   6:20   15
8/3/2019   7:20   10
8/3/2019   8:20   5
8/3/2019   9:20   0
8/3/2019   10:20   -5
8/3/2019   11:20   -10
8/3/2019   12:20   -5
8/3/2019   13:20   0
8/3/2019   14:20   5
8/3/2019   15:20   10
8/3/2019   16:20   15
8/3/2019   17:20   20
8/3/2019   18:20   25
8/3/2019   19:20   20
8/3/2019   20:20   15
8/3/2019   21:20   10
8/3/2019   22:20   5
8/3/2019   23:20   0
9/3/2019   0:20   5
9/3/2019   1:20   10
9/3/2019   2:20   15
9/3/2019   3:20   20
9/3/2019   4:20   25
9/3/2019   5:20   20
9/3/2019   6:20   15
9/3/2019   7:20   10
9/3/2019   8:20   5
9/3/2019   9:20   0
9/3/2019   10:20   -5
9/3/2019   11:20   -10
9/3/2019   12:20   -5
9/3/2019   13:20   0
9/3/2019   14:20   5
9/3/2019   15:20   10
9/3/2019   16:20   15
9/3/2019   17:20   20
9/3/2019   18:20   25
9/3/2019   19:20   20
9/3/2019   20:20   15
9/3/2019   21:20   10
9/3/2019   22:20   5
9/3/2019   23:20   0
10/3/2019   0:20   5
10/3/2019   1:20   10
10/3/2019   2:20   15
10/3/2019   3:20   20
10/3/2019   4:20   25
10/3/2019   5:20   20
10/3/2019   6:20   15
10/3/2019   7:20   10
10/3/2019   8:20   5
10/3/2019   9:20   0
10/3/2019   10:20   -5
10/3/2019   11:20   -10
10/3/2019   12:20   -5
10/3/2019   13:20   0
10/3/2019   14:20   5
10/3/2019   15:20   10
10/3/2019   16:20   15
10/3/2019   17:20   20
10/3/2019   18:20   25
10/3/2019   19:20   20
10/3/2019   20:20   15
10/3/2019   21:20   10
10/3/2019   22:20   5
10/3/2019   23:20   0
10/3/2019   0:20   5
11/3/2019   1:20   10
11/3/2019   2:20   15
11/3/2019   3:20   20
11/3/2019   4:20   25
11/3/2019   5:20   20
11/3/2019   6:20   15
11/3/2019   7:20   10
11/3/2019   8:20   5
11/3/2019   9:20   0
11/3/2019   10:20   -5
11/3/2019   11:20   -10
11/3/2019   12:20   -5
11/3/2019   13:20   0
11/3/2019   14:20   5
11/3/2019   15:20   10
11/3/2019   16:20   15
11/3/2019   17:20   20
11/3/2019   18:20   25
11/3/2019   19:20   20
11/3/2019   20:20   15
11/3/2019   21:20   10
11/3/2019   22:20   5
11/3/2019   23:20   0
12/3/2019   0:20   5
12/3/2019   1:20   10
12/3/2019   2:20   15
12/3/2019   3:20   20
12/3/2019   4:20   25
12/3/2019   5:20   20
12/3/2019   6:20   15
12/3/2019   7:20   10
12/3/2019   8:20   5
12/3/2019   9:20   0
12/3/2019   10:20   -5
12/3/2019   11:20   -10
12/3/2019   12:20   -5
12/3/2019   13:20   0
12/3/2019   14:20   5
12/3/2019   15:20   10
12/3/2019   16:20   15
12/3/2019   17:20   20
12/3/2019   18:20   25
12/3/2019   19:20   20
12/3/2019   20:20   15
12/3/2019   21:20   10
12/3/2019   22:20   5
12/3/2019   23:20   0
13/3/2019   0:20   5
13/3/2019   1:20   10
13/3/2019   2:20   15
13/3/2019   3:20   20
13/3/2019   4:20   25
13/3/2019   5:20   20
13/3/2019   6:20   15
13/3/2019   7:20   10
13/3/2019   8:20   5
13/3/2019   9:20   0
13/3/2019   10:20   -5
13/3/2019   11:20   -10
13/3/2019   12:20   -5
13/3/2019   13:20   0
13/3/2019   14:20   5
13/3/2019   15:20   10
13/3/2019   16:20   15
13/3/2019   17:20   20
13/3/2019   18:20   25
13/3/2019   19:20   20
13/3/2019   20:20   15
13/3/2019   21:20   10
13/3/2019   22:20   5
13/3/2019   23:20   0
14/3/2019   0:20   5
14/3/2019   1:20   10
14/3/2019   2:20   15
14/3/2019   3:20   20
14/3/2019   4:20   25
14/3/2019   5:20   20
14/3/2019   6:20   15
14/3/2019   7:20   10
14/3/2019   8:20   5
14/3/2019   9:20   0
14/3/2019   10:20   -5
14/3/2019   11:20   -10
14/3/2019   12:20   -5
14/3/2019   13:20   0
14/3/2019   14:20   5
14/3/2019   15:20   10
14/3/2019   16:20   15
14/3/2019   17:20   20
14/3/2019   18:20   25
14/3/2019   19:20   20
14/3/2019   20:20   15
14/3/2019   21:20   10
14/3/2019   22:20   5
14/3/2019   23:20   0
15/3/2019   0:20   5
15/3/2019   1:20   10
15/3/2019   2:20   15
15/3/2019   3:20   20
15/3/2019   4:20   25
15/3/2019   5:20   20
15/3/2019   6:20   15
15/3/2019   7:20   10
15/3/2019   8:20   5
15/3/2019   9:20   0
15/3/2019   10:20   -5
15/3/2019   11:20   -10
15/3/2019   12:20   -5
15/3/2019   13:20   0
15/3/2019   14:20   5
15/3/2019   15:20   10
15/3/2019   16:20   15
15/3/2019   17:20   20
15/3/2019   18:20   25
15/3/2019   19:20   20
15/3/2019   20:20   15
15/3/2019   21:20   10
15/3/2019   22:20   5
15/3/2019   23:20   0
16/3/2019   0:20   5
16/3/2019   1:20   10
16/3/2019   2:20   15
16/3/2019   3:20   20
16/3/2019   4:20   25
16/3/2019   5:20   20
16/3/2019   6:20   15
16/3/2019   7:20   10
16/3/2019   8:20   5
16/3/2019   9:20   0
16/3/2019   10:20   -5
16/3/2019   11:20   -10
16/3/2019   12:20   -5
16/3/2019   13:20   0
16/3/2019   14:20   5
16/3/2019   15:20   10
16/3/2019   16:20   15
16/3/2019   17:20   20
16/3/2019   18:20   25
16/3/2019   19:20   20
16/3/2019   20:20   15
16/3/2019   21:20   10
16/3/2019   22:20   5
16/3/2019   23:20   0
17/3/2019   0:20   5
17/3/2019   1:20   10
17/3/2019   2:20   15
17/3/2019   3:20   20
17/3/2019   4:20   25
17/3/2019   5:20   20
17/3/2019   6:20   15
17/3/2019   7:20   10
